Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C17, C18, C19, C21, C22, C23, C4, C5, C6",0603,11,0.1uF,
C10,0603,1,1uF,
C11,0603,1,10 uF,
"C13, C14",0603,2,10uF,
"C15, C16",0603,2,10uF 6.3V,
"C2, C3",0603,2,4.7uF,
C20,0603,1,1uF Tantalum,
"C24, C25",0603,2,22 pF,
"C7, C9",0603,2,12pF,
C8,0603,1,10nF,
"D1, D2, D3, D4, D5, D6",D_SOD-323,6,PESD3V3L1BA,
D10,0603,1,Red LED,
D11,0603,1,Green LED,
"D7, D8, D9",0603,3,LED,
"J2, J6",JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal,2,JST-PH-S6B-SM4_TB,
J3,Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical,1,TC2030,
J4,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,JST-PH 1x2,
J5,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
JP1,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Jumper_3_Open,
JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Jumper_2_Open,
L1,L_Coilcraft_LPS3010,1,1.5uH LPS3015-152MRC,
"R1, R2",0603,2,5.1k,
R10,0603,1,2.2k,
"R11, R14",0603,2,10k,
"R12, R13",0603,2,470,
"R3, R4, R9",0603,3,1k,
"R5, R6",0603,2,22,
"R7, R8",0603,2,4.7k,
TP1,TestPoint_Pad_D2.0mm,1,TestPoint,
TP2,TestPoint_Pad_D2.0mm,1,BATT,
TP3,TestPoint_Pad_D2.0mm,1,3V3,
TP4,TestPoint_Pad_D2.0mm,1,GND,
TP5,TestPoint_Pad_D2.0mm,1,SCL,
TP6,TestPoint_Pad_D2.0mm,1,SDA,
U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,STM32F042K6Ux,
U2,DSK0010A,1,~,
U3,SOT-23-5,1,MCP73831-2-OT,
U4,LGA-8_3x5mm_P1.25mm,1,MS5607-02BA,
U5,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,
U7,LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y,1,~,
U8,LGA-28_5.2x3.8mm_P0.5mm,1,BNO055,
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,ECS-160-10-36Q-AES-TR,
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,ECX-.327-CDX-1293,
